PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Function	GeneNameText	id	Interacting Gene	CellOntologyID	Marker Type	Disease Name
12082635	BRCA1	TF	Breast cancer cell	Cancer cell	Breast	low-throughput	Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA	BRCA1 transactivates the cyclin-dependent kinase inhibitor p27	The transcription factor BRCA1 activates the expression of P27 in breast cancer cells		1	IFI27		Disease Marker	Breast Cancer
29072684	FOXA1	TF	non-small cell lung cancer	Cancer cell	Lung	low-throughput + high-throughput	Weston blot;Microscopic observation;Immunohistochemistry;ChIP assay;RT-PCR;Immunofluorescent staining;Plasmids, siRNA and transfection	PLOD2 regulated by transcription factor FOXA1 promotes metastasis in NSCLC	The transcription factor FOXA1 binds directly to PLOD2 promoter to initiate PLOD2 transcription and promote the metastasis of non-small cell lung cancer (NSCLC) cells		2	PLOD2		Disease Marker	Lung Adenocarcinoma
30531838	BRCA1	TF	Stem cell	Cancer cell	Breast	low-throughput + high-throughput	Weston blot;Immunofluorescent staining;Survival analysis;Sequencing technique;Microscopic observation	ATM-dependent activation of SIM2s regulates homologous recombination and epithelial–mesenchymal transition	In breast cancer cells, SIM2s interacts with BRCA1 and supports RAD51 recruitment to the site of DNA damage.		3	RAD51	CL_0000034	Disease Marker	Ataxia-telangiectasia
30718355	GATA3	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	Immunohistochemistry	Genetic ancestry-dependent differences in breast cancer-induced field defects in the tumor-adjacent normal breast	GATA3 and FOXA1 influence the evolutionary pathway of breast cancer		4	ZEB1		Disease Marker	Breast Cancer
30718355	FOXA1	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	Immunohistochemistry	Genetic ancestry-dependent differences in breast cancer-induced field defects in the tumor-adjacent normal breast	GATA3 and FOXA1 influence the evolutionary pathway of breast cancer		5	ZEB1		Disease Marker	Breast Cancer
30718355	ZEB1	TF	Breast cancer cell	Cancer cell	Breast	low-throughput	Immunohistochemistry	Genetic ancestry-dependent differences in breast cancer-induced field defects in the tumor-adjacent normal breast	ZEB1 is a transcription factor regulating the expression of oncogenes FOXA1 and GATA3		6	GATA3;FOXA1		Disease Marker	Breast Cancer
31569299	SOX2	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		7	POU5F1;SOX17	CL_0000057	Disease Marker	Cancer
31569299	SOX2	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		8	POU5F1;SOX17	CL_0000057	Disease Marker	Cancer
31569299	SOX17	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		9	POU5F1;SOX2	CL_0000057	Disease Marker	Cancer
31569299	SOX17	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		10	POU5F1;SOX2	CL_0000057	Disease Marker	Cancer
31569299	POU5F1	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		11	SOX2;SOX17	CL_0000057	Disease Marker	Cancer
31569299	POU5F1	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		12	SOX2;SOX17	CL_0000057	Disease Marker	Cancer
31634481	NANOG	TF	Bile duct carcinoma cell	Cancer cell	Bile duct	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		13	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
31634481	NANOG	TF	Gallbladder carcinoma cell	Cancer cell	Gallbladder	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		14	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
31634481	POU5F1	TF	Bile duct carcinoma cell	Cancer cell	Bile duct	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		15	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
31634481	POU5F1	TF	Gallbladder carcinoma cell	Cancer cell	Gallbladder	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		16	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
31634481	SOX2	TF	Bile duct carcinoma cell	Cancer cell	Bile duct	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		17	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
31634481	SOX2	TF	Gallbladder carcinoma cell	Cancer cell	Gallbladder	low-throughput + high-throughput	Western blot;PCR;siRNA treatment;RT-qPCR;ELISA	Hypoxia induced Sonic Hedgehog signaling regulates cancer stemness, epithelial-to-mesenchymal transition and invasion in cholangiocarcinoma	Expression of cancer stem cells (CSC) transcription factors (NANOG, OCT4, SOX2), CD133 and EMT markers (N-CADHERIN, VIMENTIN) can support invasion of bile duct cancer cells		18	VIM;PROM1;CDH2	CL_0001064	Disease Marker	Cholangio carcinoma
7550312	GATA1	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		19	GATA2;GATA3	CL_0000034	Cell Marker	
7550312	GATA2	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		20	GATA1;GATA3	CL_0000034	Cell Marker	
7550312	GATA3	TFMarker	Stem cell	Normal cell	Liver	low-throughput	Weston blot;Microscopic observation;Southern blot;Histological analysis	Targeted disruption of the GATA3 gene causes severe abnormalities in the nervous system and in fetal liver haematopoiesis	Transcription factors GATA1, GATA2 and GATA3 are expressed in embryonic stem cells and can affect the hematopoietic function of fetal liver.		21	GATA2;GATA1	CL_0000034	Cell Marker	
18230721	BRCA1	TF	Stem cell	Normal cell	Breast	low-throughput + high-throughput	Weston blot;Microscopic observation;Immunostaining;siRNA Contructs;RT-PCR;Flow Cytometry;DNA Extraction;Aldefluor Assay 	BRCA1 regulates human mammary stem/progenitor cell fate	Loss of BRCA1 may result in the accumulation of genetically unstable breast stem cells, providing prime targets for further carcinogenic events		22	ERBB2	CL_0000034	Disease Marker	Breast Cancer
20005391	GATA3	TF Pmarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		23	IL2;IL4	CL_0000084	Cell Marker	
20005391	TBX21	TF Pmarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		24	IL2;IL4	CL_0000084	Cell Marker	
20005391	GATA3	TFMarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		25	IL2;IL4	CL_0000084	Cell Marker	
20005391	TBX21	TFMarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		26	IL2;IL4	CL_0000084	Cell Marker	
30531838	BRCA1	TF	Stem cell	Normal cell	Breast	low-throughput + high-throughput	Weston blot;Immunofluorescent staining;Survival analysis;Sequencing technique;Microscopic observation	ATM-dependent activation of SIM2s regulates homologous recombination and epithelial–mesenchymal transition	SIM2s interacts with BRCA1 and supports RAD51 recruitment to the site of DNA damage.		27	RAD51	CL_0000034	Disease Marker	Ductal carcinoma?
30691826	RUNX2	TFMarker	Interstitial cell	Normal cell	Artery	low-throughput	Western blot;Immunoblotting	MMP-12eInduced Pro-osteogenic Responses in Human Aortic Valve Interstitial Cells	Runt-associated transcription factor 2 (RUNX-2), bone morphogenetic protein 2 (BMP-2), and alkaline phosphatase (ALP) are markers of osteogenic responses in human aortic valve interstitial cells (AVICS)		28	MMP12;BMP2;ALPL	CL_0000178	Disease Marker	Background: Calcific aortic valve disease
