PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Function	GeneNameText	id	Interacting Gene	CellOntologyID	Marker Type	Disease Name
30718355	GATA3	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	Immunohistochemistry	Genetic ancestry-dependent differences in breast cancer-induced field defects in the tumor-adjacent normal breast	GATA3 and FOXA1 influence the evolutionary pathway of breast cancer		4	ZEB1		Disease Marker	Breast Cancer
30718355	FOXA1	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	Immunohistochemistry	Genetic ancestry-dependent differences in breast cancer-induced field defects in the tumor-adjacent normal breast	GATA3 and FOXA1 influence the evolutionary pathway of breast cancer		5	ZEB1		Disease Marker	Breast Cancer
31569299	SOX2	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		7	POU5F1;SOX17	CL_0000057	Disease Marker	Cancer
31569299	SOX2	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		8	POU5F1;SOX17	CL_0000057	Disease Marker	Cancer
31569299	SOX17	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		9	POU5F1;SOX2	CL_0000057	Disease Marker	Cancer
31569299	SOX17	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		10	POU5F1;SOX2	CL_0000057	Disease Marker	Cancer
31569299	POU5F1	TF Pmarker	Fibroblast cell	Cancer cell	Uterus	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		11	SOX2;SOX17	CL_0000057	Disease Marker	Cancer
31569299	POU5F1	TF Pmarker	Fibroblast cell	Cancer cell	Embryo	low-throughput + high-throughput	qRT-PCR;Western blot;Immunohistochemistry;DNA-SEQ	Cancer-associated missense mutations enhance the pluripotency reprogramming activity of OCT4 and SOX17	Transcription factors SOX2, OCT4, POU and SOX17 promote the transformation of embryonic fibroblasts into induced pluripotent stem cells		12	SOX2;SOX17	CL_0000057	Disease Marker	Cancer
20005391	GATA3	TF Pmarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		23	IL2;IL4	CL_0000084	Cell Marker
20005391	TBX21	TF Pmarker	T cell	Normal cell	Lung	low-throughput	RT-PCR;Immunofluorescent staining	Increased  T-bet to GATA-3 ratio during acute allograft rejection in the rat Lung	GATA3 and T-BET regulate the expression of T cells in the lung and are also markers of T cells		24	IL2;IL4	CL_0000084	Cell Marker
